1,秋の田の かりほの庵の 苫をあらみ,我が衣手は 露にぬれつつ,あきのたの かりほのいほの とまをあらみ,わがころもでは つゆにぬれつつ,天智天皇,てんじてんのう,1
2,春過ぎて 夏来にけらし 白妙の,衣ほすてふ 天の香具山,はるすぎて なつきにけらし しろたへの,ころもほすてふ あまのかぐやま,持統天皇,じとうてんのう,2
3,あしびきの 山鳥の尾の しだり尾の,ながながし夜を ひとりかも寝む,あしびきの やまどりのをの しだりをの,ながながしよを ひとりかもねむ,柿本人麻呂,かきのもとのひとまろ,1
4,田子の浦に うちいでてみれば 白妙の,富士の高嶺に 雪は降りつつ,たごのうらに うちいでてみれば しろたへの,ふじのたかねに ゆきはふりつつ,山部赤人,やまべのあかひと,1
5,奥山に もみぢふみわけ なく鹿の,声聞く時ぞ 秋はかなしき,おくやまに もみぢふみわけ なくしかの,こゑきくときぞ あきはかなしき,猿丸太夫,さるまるだゆう,1
6,かささぎの 渡せる橋に おく霜の,白きをみれば 夜ぞふけにける,かささぎの わたせるはしに おくしもの,しろきをみれば よぞふけにける,中納言家持,ちゅうなごんやかもち,1
7,天の原 ふりさけみれば 春日なる,三笠の山に いでし月かも,あまのはら ふりさけみれば かすがなる,みかさのやまに いでしつきかも,阿倍仲麻呂,あべのなかまろ,1
8,わが庵は 都のたつみ しかぞすむ,世をうぢ山と 人はいふなり,わがいほは みやこのたつみ しかぞすむ,よをうぢやまと ひとはいふなり,喜撰法師,きせんほうし,0
9,花の色は うつりにけりな いたづらに,わが身よにふる ながめせしまに,はなのいろは うつりにけりな いたづらに,わがみよにふる ながめせしまに,小野小町,おののこまち,2
10,これやこの 行くも帰るも わかれては,しるもしらぬも 逢坂の関,これやこの ゆくもかへるも わかれては,しるもしらぬも あふさかのせき,蝉丸,せみまる,0
11,わたの原 八十島かけて こぎいでぬと,人にはつげよ あまのつり舟,わたのはら やそしまかけて こぎいでぬと,ひとにはつげよ あまのつりぶね,参議篁,さんぎたかむら,1
12,天つ風 雲のかよひ路 吹きとぢよ,をとめの姿 しばしとどめむ,あまつかぜ くものかよひぢ ふきとぢよ,をとめのすがた しばしとどめむ,僧正遍昭,そうじょうへんじょう,0
13,つくばねの 峰よりおつる みなの川,恋ぞつもりて 淵となりぬる,つくばねの みねよりおつる みなのがは,こひぞつもりて ふちとなりぬる,陽成院,ようぜいいん,1
14,みちのくの しのぶもぢずり 誰ゆゑに,みだれそめにし 我ならなくに,みちのくの しのぶもぢずり たれゆゑに,みだれそめにし われならなくに,河原左大臣,かわらのさだいじん,1
15,君がため 春の野に出でて 若菜つむ,わが衣手に 雪はふりつつ,きみがため はるののにいでて わかなつむ,わがころもでに ゆきはふりつつ,光孝天皇,こうこうてんのう,1
16,立ちわかれ いなばの山の 峰に生ふる,まつとし聞かば いまかへりこむ,たちわかれ いなばのやまの みねにおふる,まつとしきかば いまかへりこむ,中納言行平,ちゅうなごんゆきひら,1
17,ちはやぶる 神代もきかず 竜田川,からくれなゐに 水くくるとは,ちはやぶる かみよもきかず たつたがは,からくれなゐに みづくくるとは,在原業平朝臣,ありわらのなりひらあそん,1
